"country","species","indoor_host","outdoor_host","combined_host","host_unit","indoor_biting","outdoor_biting","indoor_outdoor_biting_units","combined_1830_2130","combined_2130_0030","combined_0030_0330","combined_0330_0630","citation"
"India","Anopheles culicifacies (Sp. B)",0,0.16,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",12,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",2,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",1,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",2.7,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",4,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. A)",1.5,NA,NA,"HBI (%calc)",NA,NA,"","","","","","Joshi, H., Vasantha, K., Subbarao, S.K. and Sharma, V.P. (1988).  Host feeding patterns of Anopheles culicifacies species A and B. Journal of the American Mosquito Control Association, 4(3):248-51"
"India","Anopheles culicifacies (Sp. B)",0.9,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles culicifacies (Sp. C)",0,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
"India","Anopheles fluviatilis (Sp. S)",30,NA,NA,"HBI (%)",NA,NA,"","","","","","Shukla, R.P., Sharma, S.N., Kohli, V.K., Nanda, N., Sharma, V.P. and Subbarao, S.K. (2001).  Dynamics of malaria transmission under changing ecological scenario in and around Nanak Matta Dam, Uttaranchal, India. Indian Journal of Malariology, 38(3-4):91-8"
